SKU,SalePrice,BaseCustomPrice,DisplayOrder,Weight,Discontinue,UPC
DS-EMBS20131,"239.0000","0.0000","8","5.00","No","799665820831"
DS-EMBS20131-108,"269.0000","269.0000","3","6.00","No","799665820862"
DS-EMBS20131-120,"279.0000","279.0000","4","6.00","No","799665820855"
DS-EMBS20131-84,"239.0000","239.0000","1","5.00","No","799665820831"
DS-EMBS20131-96,"259.0000","259.0000","2","5.00","No","799665820848"
DS-EMBS20131-SW,"1.9900","0.0000","999","0.05","No","799665820893"
DS-EMBS201310,"279.0000","0.0000","11","5.00","No","799665821555"
DS-EMBS201310-108,"309.0000","309.0000","3","6.00","No","799665821586"
DS-EMBS201310-120,"319.0000","319.0000","4","6.00","No","799665821579"
DS-EMBS201310-84,"279.0000","279.0000","1","5.00","No","799665821555"
DS-EMBS201310-96,"299.0000","299.0000","2","5.00","No","799665821562"
DS-EMBS201310-CUS,"0.0000","0.0000","5","2.40","No","799665821593"
DS-EMBS201310-SW,"1.9900","0.0000","999","0.05","No","799665821616"
DS-EMBS201311,"279.0000","0.0000","18","5.00","No","799665821630"
DS-EMBS201311-108,"309.0000","309.0000","3","6.00","No","799665821661"
DS-EMBS201311-120,"319.0000","319.0000","4","6.00","No","799665821654"
DS-EMBS201311-84,"279.0000","279.0000","1","5.00","No","799665821630"
DS-EMBS201311-96,"299.0000","299.0000","2","5.00","No","799665821647"
DS-EMBS201311-CUS,"0.0000","0.0000","5","2.40","No","799665821678"
DS-EMBS201311-SW,"1.9900","0.0000","999","0.05","No","799665821692"
DS-EMBS201312,"299.0000","0.0000","2","5.00","No","799665821715"
DS-EMBS201312-108,"329.0000","329.0000","3","6.00","No","799665821746"
DS-EMBS201312-120,"339.0000","339.0000","4","6.00","No","799665821739"
DS-EMBS201312-84,"299.0000","299.0000","1","5.00","No","799665821715"
DS-EMBS201312-96,"319.0000","319.0000","2","5.00","No","799665821722"
DS-EMBS201312-CUS,"0.0000","0.0000","5","2.40","No","799665821753"
DS-EMBS201312-SW,"1.9900","0.0000","999","0.05","No","799665821777"
DS-EMBS201313,"289.0000","0.0000","10","5.00","No","799665821791"
DS-EMBS201313-108,"319.0000","319.0000","3","6.00","No","799665821821"
DS-EMBS201313-120,"329.0000","329.0000","4","6.00","No","799665821814"
DS-EMBS201313-84,"289.0000","289.0000","1","5.00","No","799665821791"
DS-EMBS201313-96,"309.0000","309.0000","2","5.00","No","799665821807"
DS-EMBS201313-CUS,"0.0000","0.0000","5","2.40","No","799665821838"
DS-EMBS201313-SW,"1.9900","0.0000","999","0.05","No","799665821852"
DS-EMBS201314,"289.0000","0.0000","21","5.00","No","799665821876"
DS-EMBS201314-108,"319.0000","319.0000","3","6.00","No","799665821906"
DS-EMBS201314-120,"329.0000","329.0000","4","6.00","No","799665821890"
DS-EMBS201314-84,"289.0000","289.0000","1","5.00","No","799665821876"
DS-EMBS201314-96,"309.0000","309.0000","2","5.00","No","799665821883"
DS-EMBS201314-CUS,"0.0000","0.0000","5","2.40","No","799665821913"
DS-EMBS201314-SW,"1.9900","0.0000","999","0.05","No","799665821937"
DS-EMBS201315,"289.0000","0.0000","15","5.00","No","799665821951"
DS-EMBS201315-108,"319.0000","319.0000","3","6.00","No","799665821982"
DS-EMBS201315-120,"329.0000","329.0000","4","6.00","No","799665821975"
DS-EMBS201315-84,"289.0000","289.0000","1","5.00","No","799665821951"
DS-EMBS201315-96,"309.0000","309.0000","2","5.00","No","799665821968"
DS-EMBS201315-CUS,"0.0000","0.0000","5","2.40","No","799665821999"
DS-EMBS201315-SW,"1.9900","0.0000","999","0.05","No","799665822019"
DS-EMBS201316,"339.0000","0.0000","6","5.00","No","799665822033"
DS-EMBS201316-108,"369.0000","369.0000","3","6.00","No","799665822064"
DS-EMBS201316-120,"379.0000","379.0000","4","6.00","No","799665822057"
DS-EMBS201316-84,"339.0000","339.0000","1","5.00","No","799665822033"
DS-EMBS201316-96,"359.0000","359.0000","2","5.00","No","799665822040"
DS-EMBS201316-CUS,"0.0000","0.0000","5","2.40","No","799665822071"
DS-EMBS201316-SW,"1.9900","0.0000","999","0.05","No","799665822095"
DS-EMBS201317,"289.0000","0.0000","14","5.00","No","799665822118"
DS-EMBS201317-108,"319.0000","319.0000","3","6.00","No","799665822149"
DS-EMBS201317-120,"329.0000","329.0000","4","6.00","No","799665822132"
DS-EMBS201317-84,"289.0000","289.0000","1","5.00","No","799665822118"
DS-EMBS201317-96,"309.0000","309.0000","2","5.00","No","799665822125"
DS-EMBS201317-CUS,"0.0000","0.0000","5","2.40","No","799665822156"
DS-EMBS201317-SW,"1.9900","0.0000","999","0.05","No","799665822170"
DS-EMBS201318,"289.0000","0.0000","17","5.00","No","799665822194"
DS-EMBS201318-108,"319.0000","319.0000","3","6.00","No","799665822224"
DS-EMBS201318-120,"329.0000","329.0000","4","6.00","No","799665822217"
DS-EMBS201318-84,"289.0000","289.0000","1","5.00","No","799665822194"
DS-EMBS201318-96,"309.0000","309.0000","2","5.00","No","799665822200"
DS-EMBS201318-CUS,"0.0000","0.0000","5","2.40","No","799665822231"
DS-EMBS201318-SW,"1.9900","0.0000","999","0.05","No","799665822255"
DS-EMBS201319,"299.0000","0.0000","1","5.00","No","799665822279"
DS-EMBS201319-108,"329.0000","329.0000","3","6.00","No","799665822309"
DS-EMBS201319-120,"339.0000","339.0000","4","6.00","No","799665822293"
DS-EMBS201319-84,"299.0000","299.0000","1","5.00","No","799665822279"
DS-EMBS201319-96,"319.0000","319.0000","2","5.00","No","799665822286"
DS-EMBS201319-CUS,"0.0000","0.0000","5","2.40","No","799665822316"
DS-EMBS201319-SW,"1.9900","0.0000","999","0.05","No","799665822330"
DS-EMBS20132,"259.0000","0.0000","0","5.00","No","799665820916"
DS-EMBS20132-108,"289.0000","289.0000","3","6.00","No","799665820947"
DS-EMBS20132-120,"299.0000","299.0000","4","6.00","No","799665820930"
DS-EMBS20132-84,"259.0000","259.0000","1","5.00","No","799665820916"
DS-EMBS20132-96,"279.0000","279.0000","2","5.00","No","799665820923"
DS-EMBS20132-CUS,"0.0000","0.0000","5","2.40","No","799665820954"
DS-EMBS20132-SW,"1.9900","0.0000","999","0.05","No","799665820978"
DS-EMBS201320,"289.0000","0.0000","4","5.00","No","799665822354"
DS-EMBS201320-108,"319.0000","319.0000","3","6.00","No","799665822385"
DS-EMBS201320-120,"329.0000","329.0000","4","6.00","No","799665822378"
DS-EMBS201320-84,"289.0000","289.0000","1","5.00","No","799665822354"
DS-EMBS201320-96,"309.0000","309.0000","2","5.00","No","799665822361"
DS-EMBS201320-CUS,"0.0000","0.0000","5","2.40","No","799665822392"
DS-EMBS201320-SW,"1.9900","0.0000","999","0.05","No","799665822415"
DS-EMBS201321,"289.0000","0.0000","3","5.00","No","799665822439"
DS-EMBS201321-108,"319.0000","319.0000","3","6.00","No","799665822460"
DS-EMBS201321-120,"329.0000","329.0000","4","6.00","No","799665822453"
DS-EMBS201321-84,"289.0000","289.0000","1","5.00","No","799665822439"
DS-EMBS201321-96,"309.0000","309.0000","2","5.00","No","799665822446"
DS-EMBS201321-CUS,"0.0000","0.0000","5","2.40","No","799665822477"
DS-EMBS201321-SW,"1.9900","0.0000","999","0.05","No","799665822491"
DS-EMBS201322,"289.0000","0.0000","16","5.00","No","799665822514"
DS-EMBS201322-108,"319.0000","319.0000","3","6.00","No","799665822545"
DS-EMBS201322-120,"329.0000","329.0000","4","6.00","No","799665822538"
DS-EMBS201322-84,"289.0000","289.0000","1","5.00","No","799665822514"
DS-EMBS201322-96,"309.0000","309.0000","2","5.00","No","799665822521"
DS-EMBS201322-CUS,"0.0000","0.0000","5","2.40","No","799665822552"
DS-EMBS201322-SW,"1.9900","0.0000","999","0.05","No","799665822576"
DS-EMBS201323,"289.0000","0.0000","19","5.00","No",""
DS-EMBS201323-108,"319.0000","319.0000","3","6.00","No","799665822620"
DS-EMBS201323-120,"329.0000","329.0000","4","6.00","No","799665822613"
DS-EMBS201323-84,"289.0000","289.0000","1","5.00","No","799665822590"
DS-EMBS201323-96,"309.0000","309.0000","2","5.00","No","799665822606"
DS-EMBS201323-CUS,"0.0000","0.0000","5","2.40","No","799665822637"
DS-EMBS201323-SW,"1.9900","0.0000","999","0.05","No","799665822651"
DS-EMBS201324,"289.0000","0.0000","20","5.00","No",""
DS-EMBS201324-108,"319.0000","319.0000","3","6.00","No","799665822705"
DS-EMBS201324-96,"309.0000","309.0000","2","5.00","No","799665822682"
DS-EMBS201324-CUS,"0.0000","0.0000","4","2.40","No","799665822712"
DS-EMBS201324-SW,"1.9900","0.0000","0","0.05","No","799665822736"
DS-EMBS20133,"259.0000","0.0000","9","5.00","No","799665820992"
DS-EMBS20133-108,"289.0000","289.0000","3","6.00","No","799665821029"
DS-EMBS20133-120,"299.0000","299.0000","4","6.00","No","799665821012"
DS-EMBS20133-84,"259.0000","259.0000","1","5.00","No","799665820992"
DS-EMBS20133-96,"279.0000","279.0000","2","5.00","No","799665821005"
DS-EMBS20133-CUS,"0.0000","0.0000","5","2.40","No","799665821036"
DS-EMBS20133-SW,"1.9900","0.0000","999","0.05","No","799665821050"
DS-EMBS20134,"255.0000","0.0000","5","5.00","No","799665821074"
DS-EMBS20134-108,"285.0000","285.0000","3","6.00","No","799665821104"
DS-EMBS20134-120,"295.0000","295.0000","4","6.00","No","799665821098"
DS-EMBS20134-84,"255.0000","255.0000","1","5.00","No","799665821074"
DS-EMBS20134-96,"275.0000","275.0000","2","5.00","No","799665821081"
DS-EMBS20134-CUS,"0.0000","0.0000","5","2.40","No","799665821111"
DS-EMBS20134-SW,"1.9900","0.0000","999","0.05","No","799665821135"
DS-EMBS20135,"275.0000","0.0000","12","5.00","No","799665821159"
DS-EMBS20135-108,"305.0000","305.0000","3","6.00","No","799665821180"
DS-EMBS20135-120,"315.0000","315.0000","4","6.00","No","799665821173"
DS-EMBS20135-84,"275.0000","275.0000","1","5.00","No","799665821159"
DS-EMBS20135-96,"295.0000","295.0000","2","5.00","No","799665821166"
DS-EMBS20135-CUS,"0.0000","0.0000","5","2.40","No","799665821197"
DS-EMBS20135-SW,"1.9900","0.0000","999","0.05","No","799665821210"
DS-EMBS20136,"275.0000","0.0000","13","5.00","No","799665821234"
DS-EMBS20136-108,"305.0000","305.0000","3","6.00","No","799665821265"
DS-EMBS20136-120,"315.0000","315.0000","4","6.00","No","799665821258"
DS-EMBS20136-84,"275.0000","275.0000","1","5.00","No","799665821234"
DS-EMBS20136-96,"295.0000","295.0000","2","5.00","No","799665821241"
DS-EMBS20136-CUS,"0.0000","0.0000","5","2.40","No","799665821272"
DS-EMBS20136-SW,"1.9900","0.0000","999","0.05","No","799665821296"
DS-EMBS20137,"279.0000","0.0000","22","5.00","No",""
DS-EMBS20137-108,"309.0000","309.0000","3","6.00","No","799665821340"
DS-EMBS20137-120,"319.0000","319.0000","4","6.00","No","799665821333"
DS-EMBS20137-84,"279.0000","279.0000","1","5.00","No","799665821319"
DS-EMBS20137-96,"299.0000","299.0000","2","5.00","No","799665821326"
DS-EMBS20137-CUS,"0.0000","0.0000","5","2.40","No","799665821357"
DS-EMBS20137-SW,"1.9900","0.0000","999","0.05","No","799665821371"
DS-EMBS20138,"279.0000","0.0000","7","5.00","No","799665821395"
DS-EMBS20138-108,"309.0000","309.0000","3","6.00","No","799665821425"
DS-EMBS20138-120,"319.0000","319.0000","4","6.00","No","799665821418"
DS-EMBS20138-84,"279.0000","279.0000","1","5.00","No","799665821395"
DS-EMBS20138-96,"299.0000","299.0000","2","5.00","No","799665821401"
DS-EMBS20138-CUS,"0.0000","0.0000","5","2.40","No","799665821432"
DS-EMBS20138-SW,"1.9900","0.0000","999","0.05","No","799665821456"
DS-EMBS20139-SW,"1.9900","0.0000","999","0.05","No","799665821531"
DS-EMBS204411,"40.0400","0.0000","0","15.00","No",""
PTSCH1-11093-63,"0.0000","0.0000","0","0.00","No",""
SS-SPW28-CUS,"0.0000","0.0000","5","2.40","No","799665811341"

